benchmark, result
archimedes, SUCCESS
berkeley, SUCCESS
closest_cube_root, SUCCESS
closest_square_root, SUCCESS
cohendiv, SUCCESS
consecutive_cubes, SUCCESS
dijkstra_ind, SUCCESS
dijsktra, SUCCESS
euclidex1, SUCCESS
euclidex2, SUCCESS
fermat1, SUCCESS
fermat2_ind, SUCCESS
firefly, SUCCESS
floor_square_root, SUCCESS
friction, SUCCESS
illinois, SUCCESS
lcm1, SUCCESS
mannadiv_Carre, SUCCESS
mannadiv_Cube, SUCCESS
mannadiv_ind, SUCCESS
mesi, SUCCESS
moesi, SUCCESS
petter10, SUCCESS
petter3, SUCCESS
petter5, SUCCESS
polynomial_approx, SUCCESS
positive_square_with_holes, SUCCESS
positive_square_with_number_holes, SUCCESS
readerswriters, SUCCESS
square_roots, SUCCESS
sum_of_two_vars, SUCCESS
wensley_division, SUCCESS